,X,lon,lat
492,596,-71.5723953,43.1938516
493,597,-87.6297982,41.8781136
494,598,-65.9462583,45.4321713
495,599,-71.3824374,42.4072107
496,600,-78.898619,35.9940329
497,601,-86.8688899,35.9250637
498,602,-71.5723953,43.1938516
499,603,-71.0994968,42.3875968
500,604,-74.0059413,40.7127837
501,605,-71.1092012,42.1229099
502,606,-70.1723716,18.6740775
503,608,-71.3824374,42.4072107
504,609,-85.3232139,51.253775
505,610,-71.2478251,42.0653812
506,611,-71.2092214,42.3370413
507,612,-71.0588801,42.3600825
508,613,-71.1097335,42.3736158
509,614,-71.0588801,42.3600825
510,618,-71.3824374,42.4072107
511,619,-122.1560768,37.7249296
512,620,-71.0616395,42.3266911
513,621,-88.391154,34.0701074
514,622,-75.3109677,39.8983956
515,624,-83.7401672,43.3218127
516,625,-71.4547891,42.9956397
517,626,-71.396725,42.0834313
518,627,-113.4909267,53.544389
519,628,-85.7584557,38.2526647
520,629,-71.4372796,41.7798226
521,630,-71.0588801,42.3600825
522,632,-98.4936282,29.4241219
523,633,-74.4056612,40.0583238
524,636,-114.0708459,51.0486151
525,637,-9.5668632,52.1544607
526,638,-71.1828321,42.3709299
527,639,-111.6946475,40.2968979
528,640,-71.0588801,42.3600825
529,643,-77.1945247,41.2033216
530,644,-122.6764816,45.5230622
531,645,-88.1084224,42.9764027
532,646,-95.712891,37.09024
533,647,-118.2436849,34.0522342
534,648,-95.712891,37.09024
535,649,-58.337468,-34.6743938
536,650,-81.551844,28.373949
537,651,-71.0588801,42.3600825
538,653,-64.7782313,46.0878165
539,654,-2.2426305,53.4807593
540,655,-80.4831917,43.450301
541,656,-122.6764816,45.5230622
542,657,-95.3010624,32.3512601
543,658,-43.3433999,-21.7624237
544,659,-70.8226541,43.9653889
545,661,133.775136,-25.274398
546,663,142.7027956,-20.9175738
547,664,-71.0588801,42.3600825
548,665,-80.4549026,38.5976262
549,666,-78.5805673,33.9010054
550,668,-96.7969879,32.7766642
551,669,-98.2978951,26.0508406
552,671,-95.712891,37.09024
553,672,-94.483984,39.0489306
554,673,-99.133208,19.4326077
555,674,-5.8360999,54.4601231
556,675,-106.346771,56.130366
557,676,-79.3831843,43.653226
558,677,-121.2907796,37.9577016
559,678,-79.9958864,40.4406248
560,679,-71.0588801,42.3600825
561,680,-71.3824374,42.4072107
562,681,-95.712891,37.09024
563,682,11.4978895,48.7904472
564,683,-92.4382367,39.4183689
565,684,-113.625642,53.6304753
566,685,-71.4244224,42.6766696
567,687,-74.0059413,40.7127837
568,688,-79.050853,43.058864
569,689,-70.6722767,42.0417525
570,690,-121.6219177,39.7596061
571,691,-88.1834277,43.4252776
572,692,-97.092877,35.0077519
573,693,-71.0588801,42.3600825
574,694,28.9783589,41.0082376
575,695,-72.6506488,41.5623209
576,696,-112.4685025,34.5400242
577,697,-71.1002881,42.3428653
578,698,-118.2436849,34.0522342
579,699,-76.6121893,39.2903848
580,701,-72.8141185,41.2799027
581,702,-88.019826,44.519159
582,703,-2.9349852,43.2630126
583,704,-99.2195034,19.3105811
584,705,-82.907123,40.4172871
585,706,-74.0059413,40.7127837
586,707,-71.3824374,42.4072107
587,709,-111.6946475,40.2968979
588,712,-95.712891,37.09024
589,714,-95.3698028,29.7604267
590,715,-81.3852595,30.2400058
591,716,-76.6121893,39.2903848
592,717,-95.3698028,29.7604267
593,718,-119.8138027,39.5296329
594,719,-95.712891,37.09024
595,720,-83.753428,9.748917
596,722,-74.694929,40.774716
597,723,-71.0588801,42.3600825
598,724,-71.761522,42.1920719
599,725,-71.3824374,42.4072107
600,726,-71.3739272,42.8651298
601,727,-122.6764816,45.5230622
602,729,-122.4194155,37.7749295
603,730,-79.0192997,35.7595731
604,731,-79.7428205,43.5602665
605,732,-1.470085,53.381129
606,733,-80.1494901,26.0112014
607,735,-80.2767327,26.6514503
608,736,-70.3002024,41.7003208
609,737,-0.974188,51.746997
610,739,-74.0059413,40.7127837
611,740,-112.0309822,33.640596
612,742,-81.3792365,28.5383355
613,743,2.485932,48.875661
614,744,-73.3001233,42.4634503
615,745,-71.0588801,42.3600825
616,746,-75.2913018,38.5915023
617,747,-95.3698028,29.7604267
618,748,-75.2915557,43.1220141
619,749,-0.1277583,51.5073509
620,750,-95.712891,37.09024
621,751,-81.4726244,28.4715817
622,752,-95.712891,37.09024
623,753,-120.7401386,47.7510741
624,754,-71.0588801,42.3600825
625,755,-77.0469214,38.8048355
626,756,-70.4380486,43.8347372
627,757,-95.712891,37.09024
628,758,-71.0588801,42.3600825
629,759,-79.3831843,43.653226
630,760,-119.4179324,36.778261
631,761,-70.8844239,42.8796245
632,764,12.5683371,55.6760968
633,765,-113.496482,53.541244
634,766,-110.9559192,29.0729673
635,767,-79.3831843,43.653226
636,768,-96.7028312,33.0205401
637,770,-122.4194155,37.7749295
638,771,-7.4633103,54.8273865
639,772,-106.346771,56.130366
640,773,-3.7686545,40.3319506
641,775,-3.435973,55.378051
642,776,-70.162651,18.735693
643,777,-81.6528219,41.4924631
644,778,10.4508956,32.9210902
645,779,-118.2436849,34.0522342
646,780,-99.133208,19.4326077
647,781,-82.8123646,39.8466556
648,782,-86.3442107,34.3614336
649,783,-82.9000751,32.1656221
650,784,-118.2436849,34.0522342
651,785,-70.9264393,43.1339545
652,787,-74.0059413,40.7127837
653,788,-71.0588801,42.3600825
654,789,-117.263511,33.939706
655,790,-116.419389,34.9592083
656,791,-73.9865533,40.7263542
657,794,-122.2913078,37.8271784
658,795,-74.4056612,40.0583238
659,796,-71.0588801,42.3600825
660,797,-0.0518524,51.484904
661,798,-72.5778415,44.5588028
662,799,-91.9193422,44.8755183
663,800,-66.0633081,45.2733153
664,1,-79.1368259,35.0305707
665,3,-71.0475773,42.3381437
666,4,-89.0102133,45.220083
667,5,-71.3824374,42.4072107
668,8,-114.3224548,34.483901
669,9,-87.9064736,43.0389025
670,10,2.3522219,48.856614
671,11,-118.1937395,33.7700504
672,12,-118.3286614,34.0928092
673,13,-74.0059413,40.7127837
674,15,-95.712891,37.09024
675,17,-84.8984775,33.9142037
676,18,-85.5016423,36.162839
677,19,9.1829321,48.7758459
678,20,-84.2482809,42.1513952
679,21,-85.6023643,44.3148443
680,22,-89.3985283,40.6331249
681,24,-102.4342115,47.736992
682,25,-71.3824374,42.4072107
683,26,-90.0715323,29.9510658
684,27,-112.3449773,43.1904709
685,28,-122.1430195,37.4418834
686,29,-114.0708459,51.0486151
687,30,-84.3879824,33.7489954
688,31,-81.1067644,41.7169947
689,32,-110.7624282,43.4799291
690,33,-75.4794257,10.3910485
691,35,-81.6943605,41.49932
692,36,-82.9000751,32.1656221
693,38,-96.7969879,32.7766642
694,39,-80.1436057,40.7882723
695,41,-71.0588801,42.3600825
696,42,-70.6672621,41.9584457
697,43,-95.712891,37.09024
698,44,-74.0059413,40.7127837
699,45,-70.2962408,41.6687897
